ssd_count,policy,policy_role,C,U,E,metric,value,unit,positive_change_meaning
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.strategy,ablation_c1_u0_e0,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control.utility_enabled,False,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,rate_control_write_count,1152,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,request_count,456116,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,starvation_free,True,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,wall_time_seconds,57.35116389696486,s,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,worst_delta_us,420419.4032,us,退化（超期增加）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,byte_count,67257040896,bytes,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,cir_dispatch_count,439056,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,completed_inference_count,128,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,control_update_non_tick_write_count,0,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,control_update_period_us_by_storage_target.SSD0,80,,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,control_update_tick_aligned_write_count,2176,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,excess_dispatch_count,17060,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,group_weight_write_count,0,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,last_completion_by_ssd_us.SSD0,1779185.6624,,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,late_gpu_layer_count,251,count,退化（数量增加）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,max_gpu_utilization_percent,98.44275673968863,%,改善
1,ablation_c1_u0_e1,factorial_cell,1,0,1,max_ttft_us,2118436.7495230767,us,退化（时间变长）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,mean_actual_read_us,235903.20723980374,us,退化（时间变长）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,mean_gpu_utilization_percent,36.722062562046865,%,改善
1,ablation_c1_u0_e1,factorial_cell,1,0,1,mean_ttft_us,1039029.7018189509,us,退化（时间变长）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,min_gpu_utilization_percent,1.50920931505625,%,改善
1,ablation_c1_u0_e1,factorial_cell,1,0,1,overall_last_completion_us,1779185.6624,us,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,p95_delta_us,1259462.4752,us,退化（超期增加）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,p95_gpu_utilization_percent,85.60486432226591,%,改善
1,ablation_c1_u0_e1,factorial_cell,1,0,1,p95_ttft_us,1888461.1135076922,us,退化（时间变长）
1,ablation_c1_u0_e1,factorial_cell,1,0,1,processed_event_count,1394479,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,queue_weight_write_count,1024,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,rate_control.active_demand_count,0,count,仅表示数值增加
1,ablation_c1_u0_e1,factorial_cell,1,0,1,rate_control.active_p_node_count,0,count,仅表示数值增加
