ssd_count,transition,transition_label_cn,attribution_scope,before_policy,after_policy,metric,metric_label_cn,before_value,after_value,signed_change,change_unit,signed_relative_change_percent,positive_change_meaning
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,late_gpu_layer_count,逾期 GPU layer 数,201.0,238.0,37.0,count,,退化（数量增加）
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,p95_delta_us,P95 预取超期量,68486.168,41912.4208,-26573.747200000005,us,,退化（超期增加）
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,worst_delta_us,最坏预取超期量,88661.8352,134600.344,45938.50880000001,us,,退化（超期增加）
8,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,mean_actual_read_us,平均实际读取时间,28355.791212690314,39606.45519248801,11250.663979797693,us,39.6767767663721,退化（时间变长）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,mean_gpu_utilization_percent,平均 GPU 利用率,76.85841627279252,75.90490641631466,-0.953509856477865,pp,,改善
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,min_gpu_utilization_percent,最低 GPU 利用率,12.18638977960792,26.610579815318484,14.424190035710565,pp,,改善
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,p95_gpu_utilization_percent,P95 GPU 利用率,93.87660489360306,85.5122044361217,-8.364400457481352,pp,,改善
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,max_gpu_utilization_percent,最高 GPU 利用率,94.70106413195326,89.33309697310976,-5.3679671588434985,pp,,改善
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,mean_ttft_us,平均 TTFT,359795.4957395034,377328.3995383412,17532.903798837797,us,4.8730192585656615,退化（时间变长）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,p95_ttft_us,P95 TTFT,715125.0373333334,777583.7125333335,62458.675200000056,us,8.733951678283484,退化（时间变长）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,max_ttft_us,Max TTFT,792600.3455384616,861399.6287384615,68799.28319999995,us,8.680198486825086,退化（时间变长）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,late_gpu_layer_count,逾期 GPU layer 数,188.0,209.0,21.0,count,,退化（数量增加）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,p95_delta_us,P95 预取超期量,60685.7456,95595.9536,34910.20799999999,us,,退化（超期增加）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,worst_delta_us,最坏预取超期量,78811.7744,117201.944,38390.16960000001,us,,退化（超期增加）
9,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,mean_actual_read_us,平均实际读取时间,23840.71990260412,28445.97630879402,4605.256406189899,us,19.31676738371842,退化（时间变长）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,mean_gpu_utilization_percent,平均 GPU 利用率,75.90490641631466,81.50681635408502,5.601909937770358,pp,,改善
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,min_gpu_utilization_percent,最低 GPU 利用率,26.610579815318484,10.853644948945732,-15.756934866372752,pp,,改善
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,p95_gpu_utilization_percent,P95 GPU 利用率,85.5122044361217,98.83206001031562,13.319855574193909,pp,,改善
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,max_gpu_utilization_percent,最高 GPU 利用率,89.33309697310976,99.80340978401772,10.470312810907956,pp,,改善
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,mean_ttft_us,平均 TTFT,377328.3995383412,341751.48253305274,-35576.91700528847,us,-9.428634857279917,退化（时间变长）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,p95_ttft_us,P95 TTFT,777583.7125333335,680628.386051282,-96955.3264820514,us,-12.468795953322532,退化（时间变长）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,max_ttft_us,Max TTFT,861399.6287384615,762294.4511384616,-99105.17759999994,us,-11.505133540066835,退化（时间变长）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,late_gpu_layer_count,逾期 GPU layer 数,209.0,222.0,13.0,count,,退化（数量增加）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,p95_delta_us,P95 预取超期量,95595.9536,39777.1504,-55818.803199999995,us,,退化（超期增加）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,worst_delta_us,最坏预取超期量,117201.944,47415.3712,-69786.5728,us,,退化（超期增加）
9,shared_foundation,共享 Gate 基础（000 - Legacy FCFS-CIR）,shared_foundation,demand_aware_fcfs_cir,ablation_c0_u0_e0,mean_actual_read_us,平均实际读取时间,28445.97630879402,25966.027916606516,-2479.9483921875035,us,-8.718099056494088,退化（时间变长）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,mean_gpu_utilization_percent,平均 GPU 利用率,81.50681635408502,85.98037928200455,4.473562927919531,pp,,改善
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,min_gpu_utilization_percent,最低 GPU 利用率,10.853644948945732,12.847023692440143,1.9933787434944108,pp,,改善
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,p95_gpu_utilization_percent,P95 GPU 利用率,98.83206001031562,99.5590766538752,0.7270166435595797,pp,,改善
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,max_gpu_utilization_percent,最高 GPU 利用率,99.80340978401772,99.85982212113235,0.05641233711463656,pp,,改善
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,mean_ttft_us,平均 TTFT,341751.48253305274,327814.44344411057,-13937.039088942169,us,-4.078121032757843,退化（时间变长）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,p95_ttft_us,P95 TTFT,680628.386051282,684999.3157333335,4370.929682051414,us,0.6421903305281901,退化（时间变长）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,max_ttft_us,Max TTFT,762294.4511384616,763081.6511384615,787.1999999999534,us,0.10326718223178671,退化（时间变长）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,late_gpu_layer_count,逾期 GPU layer 数,222.0,203.0,-19.0,count,,退化（数量增加）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,p95_delta_us,P95 预取超期量,39777.1504,37468.5168,-2308.633600000001,us,,退化（超期增加）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,worst_delta_us,最坏预取超期量,47415.3712,105183.128,57767.756799999996,us,,退化（超期增加）
9,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,mean_actual_read_us,平均实际读取时间,25966.027916606516,34233.407195983586,8267.37927937707,us,31.83921432237884,退化（时间变长）
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,mean_gpu_utilization_percent,平均 GPU 利用率,85.98037928200455,85.98037928200455,0.0,pp,,改善
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,min_gpu_utilization_percent,最低 GPU 利用率,12.847023692440143,12.847023692440143,0.0,pp,,改善
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,p95_gpu_utilization_percent,P95 GPU 利用率,99.5590766538752,99.5590766538752,0.0,pp,,改善
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,max_gpu_utilization_percent,最高 GPU 利用率,99.85982212113235,99.85982212113235,0.0,pp,,改善
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,mean_ttft_us,平均 TTFT,327814.44344411057,327814.44344411057,0.0,us,0.0,退化（时间变长）
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,p95_ttft_us,P95 TTFT,684999.3157333335,684999.3157333335,0.0,us,0.0,退化（时间变长）
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,max_ttft_us,Max TTFT,763081.6511384615,763081.6511384615,0.0,us,0.0,退化（时间变长）
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,late_gpu_layer_count,逾期 GPU layer 数,203.0,203.0,0.0,count,,退化（数量增加）
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,p95_delta_us,P95 预取超期量,37468.5168,37468.5168,0.0,us,,退化（超期增加）
